InputId,RemoteId
160706715296,160706715296
152319380506,152319380506
134722761022,134722761022
123109357346,123109357346
122973919634,122973919634
122536529238,122536529238
122161340681,122161340681
121931687734,121931687734
121921461846,121921461846
121824075099,121824075099
121822706584,121822706584
121802535247,121802535247
121799345542,121799345542
121775133610,121775133610
121775131949,121775131949
121774215849,121774215849
121774053551,121774053551
121773120284,121773120284
121770356371,121770356371
121769562167,121769562167
121764758969,121764758969
121760414610,121760414610
121760279061,121760279061
154241372271,154241372271
121935341424,121935341424
121925012041,121925012041
121774050402,121774050402
126918022456,126918022456
121780633510,121780633510
121775757683,121775757683
163860579702,163860579702
163785848999,163785848999
163774049628,163774049628
163786558562,163786558562
163794330804,163794330804
163772582726,163772582726
163799275605,163799275605
163808507939,163808507939
162868108818,162868108818
162633448985,162633448985
163857030806,163857030806
163805782539,163805782539
163808526893,163808526893
163855997607,163855997607
163800901269,163800901269
163777900953,163777900953
163832038746,163832038746
163204607759,163204607759
162629131586,162629131586
160167324972,160167324972
160142134433,160142134433
121934625563,121934625563
121927645769,121927645769
121929489213,121929489213
121886326020,121886326020
121759196035,121759196035
121981586789,121981586789
121926397782,121926397782
163839976115,163839976115
121989874688,121989874688
121941453844,121941453844
121948385122,121948385122
121781713322,121781713322
121916338586,121916338586
121990209643,121990209643
121932135797,121932135797
153935856922,153935856922
121945683844,121945683844
121920037640,121920037640
121930969909,121930969909
121937740404,121937740404
121927010471,121927010471
121924072316,121924072316
121822708613,121822708613
121935917168,121935917168
121759818581,121759818581
121955226976,121955226976
121957450640,121957450640
127395568137,127395568137
121963204280,121963204280
121892652893,121892652893
121989130869,121989130869
121927786774,121927786774
121915866447,121915866447
121923606405,121923606405
121779853656,121779853656
121989221382,121989221382
121775292773,121775292773
121892607802,121892607802
121974969516,121974969516
121771264920,121771264920
121761058713,121761058713
121945758312,121945758312
121963180959,121963180959
150550751575,150550751575
154157855787,154157855787
121989487681,121989487681
121768936570,121768936570
121918782850,121918782850
121974309415,121974309415
121937907598,121937907598
121918897239,121918897239
121772655904,121772655904
121773281666,121773281666
161446777945,161446777945
121780476770,121780476770
121957096830,121957096830
121919201681,121919201681
121939143793,121939143793
121924174726,121924174726
121982218379,121982218379
122789519172,122789519172
162771291038,162771291038
121982063372,121982063372
121915540587,121915540587
121800109460,121800109460
121919744528,121919744528
121956714285,121956714285
121760415502,121760415502
121935342336,121935342336
121761057796,121761057796
121781565611,121781565611
121770186248,121770186248
121773118609,121773118609
121937784219,121937784219
121775756401,121775756401
121886326052,121886326052
121886177558,121886177558
121937721132,121937721132
121772192256,121772192256
121891477762,121891477762
121955169619,121955169619
121926218515,121926218515
121770329649,121770329649
121928508535,121928508535
121918944773,121918944773
121771264102,121771264102
121759818911,121759818911
121770334282,121770334282
121955228492,121955228492
121916490891,121916490891
121964466349,121964466349
121982184334,121982184334
121968754736,121968754736
121949023877,121949023877
121916489099,121916489099
121782331672,121782331672
121759970964,121759970964
121765076789,121765076789
121822861647,121822861647
134660245172,134660245172
121929809673,121929809673
123769664610,123769664610
121928724627,121928724627
121921144163,121921144163
121961153614,121961153614
121886741893,121886741893
121884913316,121884913316
121923297168,121923297168
150610028206,150610028206
121758424597,121758424597
121934607935,121934607935
121935140405,121935140405
121930090122,121930090122
121946875478,121946875478
121989578274,121989578274
121924673807,121924673807
121964763315,121964763315
121941520432,121941520432
121922835985,121922835985
121777636710,121777636710
121923569529,121923569529
126932417367,126932417367
121765849224,121765849224
121981344375,121981344375
121982243365,121982243365
121927179562,121927179562
121942178443,121942178443
121929309997,121929309997
121974457136,121974457136
163645977512,163645977512
151589187599,151589187599
121931020473,121931020473
121758884953,121758884953
121981376157,121981376157
121920474166,121920474166
121942169253,121942169253
121982031493,121982031493
121922608568,121922608568
121935913828,121935913828
121969141603,121969141603
121989756726,121989756726
121920666486,121920666486
143727939999,143727939999
121982093976,121982093976
121765385068,121765385068
121760123267,121760123267
121919522570,121919522570
121927007009,121927007009
121928812979,121928812979
121982067583,121982067583
121927562005,121927562005
121982153317,121982153317
121768629258,121768629258
121968742022,121968742022
121981586808,121981586808
121955242117,121955242117
121929647705,121929647705
121926030687,121926030687
121927632736,121927632736
122574199417,122574199417
121932413859,121932413859
121929174019,121929174019
162765279001,162765279001
121926869777,121926869777
131733615695,131733615695
121886754914,121886754914
121932415489,121932415489
121925446422,121925446422
121980414127,121980414127
121914077241,121914077241
121952286006,121952286006
121968966940,121968966940
121920027395,121920027395
121782492976,121782492976
121926372104,121926372104
121925249283,121925249283
121955158842,121955158842
153147787590,153147787590
121923595692,121923595692
121930037520,121930037520
121781868597,121781868597
121915848004,121915848004
121965397580,121965397580
121769714237,121769714237
121938401136,121938401136
121760128146,121760128146
121765541379,121765541379
121924079364,121924079364
121950460720,121950460720
121775447653,121775447653
121927143783,121927143783
121930240386,121930240386
121760593457,121760593457
121776216719,121776216719
121989042333,121989042333
121989760875,121989760875
121946871405,121946871405
121764784398,121764784398
121921128377,121921128377
121775596123,121775596123
161446709879,161446709879
121928027665,121928027665
121981707349,121981707349
121924837908,121924837908
121917088665,121917088665
121774982223,121774982223
150518621967,150518621967
121938476569,121938476569
121955242621,121955242621
121982510997,121982510997
121927937540,121927937540
121990149423,121990149423
121924004989,121924004989
121935294895,121935294895
121779852109,121779852109
121925863979,121925863979
121926992000,121926992000
121989102973,121989102973
121942011032,121942011032
150909571642,150909571642
121937933657,121937933657
121925932109,121925932109
121927566613,121927566613
121928649762,121928649762
121926406584,121926406584
121922362910,121922362910
121920494137,121920494137
121989609790,121989609790
121981375630,121981375630
121886811162,121886811162
121886703378,121886703378
121942238099,121942238099
121784501058,121784501058
128166388815,128166388815
121931019822,121931019822
121773432208,121773432208
121783731637,121783731637
121781870877,121781870877
121924516503,121924516503
121982392336,121982392336
121957136549,121957136549
121973795486,121973795486
121947704386,121947704386
121939172647,121939172647
121919206476,121919206476
121990002092,121990002092
121955243092,121955243092
121949059756,121949059756
161829071201,161829071201
121957137225,121957137225
121768940854,121768940854
121953878845,121953878845
121772189017,121772189017
161455251618,161455251618
121929159715,121929159715
138800630041,138800630041
121760756315,121760756315
121885667479,121885667479
121940292673,121940292673
121927625590,121927625590
121758733389,121758733389
121776213385,121776213385
121982064453,121982064453
121974321591,121974321591
121926372016,121926372016
121886339163,121886339163
163671973479,163671973479
121773116467,121773116467
121915870615,121915870615
121957137971,121957137971
121769095768,121769095768
121950470204,121950470204
121927151164,121927151164
121779389704,121779389704
121960589460,121960589460
121758424362,121758424362
121969199640,121969199640
121760441699,121760441699
121946836662,121946836662
121982390533,121982390533
121921140909,121921140909
121928542989,121928542989
121884612180,121884612180
142429878299,142429878299
121771261774,121771261774
121923849573,121923849573
162771392394,162771392394
121937723571,121937723571
121926796944,121926796944
121948371968,121948371968
121916652127,121916652127
121892620045,121892620045
121783574912,121783574912
121973800756,121973800756
141322869310,141322869310
121941538601,121941538601
121965486670,121965486670
121783572301,121783572301
121961066839,121961066839
121927465839,121927465839
121926482457,121926482457
121957104050,121957104050
121925702474,121925702474
121990585238,121990585238
121955165286,121955165286
121913553469,121913553469
121767086429,121767086429
121774205514,121774205514
121929490857,121929490857
121799196988,121799196988
121956701763,121956701763
121950323716,121950323716
121782492716,121782492716
121990213420,121990213420
121769093795,121769093795
121989072166,121989072166
121926249864,121926249864
121952286025,121952286025
121928541483,121928541483
121765695281,121765695281
121760591538,121760591538
121766618753,121766618753
121963166075,121963166075
121887013285,121887013285
121965250595,121965250595
121772502379,121772502379
121965240620,121965240620
121889767951,121889767951
121929813405,121929813405
121982360385,121982360385
121802841221,121802841221
121939092629,121939092629
121885578161,121885578161
121982270551,121982270551
121957128283,121957128283
121931342891,121931342891
121924846134,121924846134
121780165645,121780165645
163526174877,163526174877
121920756996,121920756996
